Star 	Constellation 	Rightascension 	Declination 	App.mag. 	Distance (ly) 	Spectraltype 	Planet 	"Mass
(MJ) "	"Radius
(RJ) "	"Orbitalperiod
(d) "	"Semimajoraxis
(AU) "	Orbitaleccentricity 	"Inclination
(°) "	"Discovery
year "
SWEEPS J175853.29-291233.5	Sagittarius	 17h 58m 53s	−29° 12′ 33″	22.2	~22000		SWEEPS-01	?	1.01	1.56	0.025	?	86+	2006
SWEEPS J175853.38-291217.8	Sagittarius	 17h 58m 53s	−29° 12′ 18″	25.1	~22000		SWEEPS-02	?	1.37	0.912	0.015	?	86+	2006
SWEEPS J175853.57-291144.1	Sagittarius	 17h 58m 53s	−29° 11′ 44″	22.5	~22000		SWEEPS-03	?	0.87	1.27	0.021	?	86+	2006
SWEEPS J175853.92−291120.6	Sagittarius	 17h 58m 54s	−29° 11′ 21″	18.8	~22000		SWEEPS-04	<3.8	0.81	4.2	0.055	?	87+	2006
SWEEPS J175854.60-291128.2	Sagittarius	 17h 58m 55s	−29° 11′ 28″	23.9	~22000		SWEEPS-05	?	1.09	2.313	0.03	?	87+	2006
SWEEPS J175857.29-291253.4	Sagittarius	 17h 58m 57s	−29° 12′ 53″	19.5	~22000		SWEEPS-06	?	0.82	3.039	0.042	?	86+	2006
SWEEPS J175857.69-291114.5	Sagittarius	 17h 58m 58s	−29° 11′ 15″	21.5	~22000		SWEEPS-07	?	0.9	1.747	0.027	?	86+	2006
SWEEPS J175859.24-291328.7	Sagittarius	 17h 58m 59s	−29° 13′ 29″	21.7	~22000		SWEEPS-08	?	0.98	0.868	0.017	?	84+	2006
SWEEPS J175859.60-291211.8	Sagittarius	 17h 59m 00s	−29° 12′ 12″	22.5	~22000		SWEEPS-09	?	1.01	1.617	0.025	?	86+	2006
SWEEPS J175902.00-291323.7	Sagittarius	 17h 59m 02s	−29° 13′ 24″	26.2	~22000		SWEEPS-10	?	1.24	0.424	0.008	?	84+	2006
SWEEPS J175902.67−291153.5	Sagittarius	 17h 59m 03s	−29° 11′ 54″	19.83	~22000		SWEEPS-11	9.7	1.13	1.796	0.03	?	84+	2006
SWEEPS J175904.44-291317.1	Sagittarius	 17h 59m 04s	−29° 13′ 17″	21.8	~22000		SWEEPS-12	?	0.91	2.952	0.038	?	87+	2006
SWEEPS J175905.95-291305.6	Sagittarius	 17h 59m 04s	−29° 13′ 17″	21.38	~22000		SWEEPS-13	?	0.78	1.684	0.027	?	86+	2006
SWEEPS J175907.56-291039.8	Sagittarius	 17h 59m 04s	−29° 13′ 17″	22.38	~22000		SWEEPS-14	?	0.93	2.965	0.037	?	87+	2006
SWEEPS J175907.64-291023.7	Sagittarius	 17h 59m 04s	−29° 13′ 17″	25.66	~22000		SWEEPS-15	?	1.37	0.541	0.01	?	84+	2006
SWEEPS J175908.44-291140.6	Sagittarius	 17h 59m 08s	−29° 11′ 41″	23.78	~22000		SWEEPS-16	?	1.4	0.969	0.017	?	85+	2006
